iter	Logloss
0	0.5592357998
1	0.4591292818
2	0.3839603634
3	0.3307014046
4	0.2891078416
5	0.2580659661
6	0.2346477451
7	0.2158995046
8	0.2038025159
9	0.1948245809
10	0.1867932978
11	0.18059185
12	0.1754549829
13	0.1717495473
14	0.1689473305
15	0.1666162936
16	0.1643379652
17	0.1628729825
18	0.1615581604
19	0.1603760497
20	0.1591681298
21	0.1585174812
22	0.1577753477
23	0.1572639864
24	0.1565008028
25	0.1559535731
26	0.1556507635
27	0.155338754
28	0.1549556755
29	0.1547649158
30	0.1544841377
31	0.1542557953
32	0.1537434419
33	0.1535909492
34	0.1534287387
35	0.1533016417
36	0.153174956
37	0.1530753771
38	0.1529653111
39	0.1528279868
40	0.1527274156
41	0.1523558486
42	0.1521327134
43	0.1519355747
44	0.1518675236
45	0.1518007817
46	0.1517251692
47	0.1516462095
48	0.151597866
49	0.1515494887
50	0.1514880591
51	0.1514209847
52	0.1513458937
53	0.1511190717
54	0.1510389605
55	0.1509550203
56	0.1508384187
57	0.1507883493
58	0.1507276506
59	0.1506530959
60	0.1506185381
61	0.1505927277
62	0.1505573921
63	0.1504682471
64	0.1504414397
65	0.1504026659
66	0.1503582978
67	0.1502358791
68	0.1501935408
69	0.1501441687
70	0.1500984421
71	0.1500303768
72	0.1500050625
73	0.1499731789
74	0.1499545428
75	0.1499119626
76	0.1498742204
77	0.1498449875
78	0.1498193605
79	0.1497903282
80	0.1497618448
81	0.1497294228
82	0.149701358
83	0.1496687666
84	0.1496006648
85	0.1495736495
86	0.1495530211
87	0.149527822
88	0.1495126447
89	0.1494817547
90	0.1494623352
91	0.1494394212
92	0.1494130804
93	0.1493935165
94	0.1493468804
95	0.149324679
96	0.1493018082
97	0.1492742106
98	0.1492539689
99	0.1492234148
100	0.1492047081
101	0.1491740075
102	0.1491376199
103	0.1490917201
104	0.1490675926
105	0.1490478814
106	0.1490359946
107	0.1490026576
108	0.1489860481
109	0.148971413
110	0.1489509801
111	0.1489321064
112	0.1489121398
113	0.1488880568
114	0.148865111
115	0.1488362101
116	0.1488145165
117	0.1487891319
118	0.1487780343
119	0.1487636328
120	0.1487517772
121	0.1487400614
122	0.1487222566
123	0.1487089902
124	0.1486808085
125	0.1486625593
126	0.1486413158
127	0.1486266675
128	0.1486055041
129	0.1485816916
130	0.1485595533
131	0.1485452928
132	0.1485249927
133	0.1485041418
134	0.1484836131
135	0.148466125
136	0.1484526162
137	0.1484350545
138	0.1484158805
139	0.1483939503
140	0.1483736174
141	0.1483215675
142	0.1483015169
143	0.1482749658
144	0.1482537493
145	0.1482373299
146	0.1482200909
147	0.1481845756
148	0.1481695335
149	0.1481523952
150	0.1481272899
151	0.1481044081
152	0.1480809287
153	0.1480690891
154	0.1480520012
155	0.1480395048
156	0.1480222082
157	0.1480060065
158	0.1479913484
159	0.1479539432
160	0.1479351552
161	0.1479214119
162	0.1478989333
163	0.1478776814
164	0.1478663262
165	0.1478504736
166	0.1478398329
167	0.1478238626
168	0.1478051937
169	0.1477876761
170	0.1477679009
171	0.14775078
172	0.1477387435
173	0.1477225511
174	0.1477090662
175	0.1476965341
176	0.1476785078
177	0.1476588035
178	0.1476463035
179	0.1476353611
180	0.1476191956
181	0.1476016197
182	0.147583975
183	0.1475677153
184	0.147554192
185	0.1475372136
186	0.14750558
187	0.1474876102
188	0.1474713437
189	0.1474552167
190	0.1474421208
191	0.1474306656
192	0.1474042705
193	0.1473848491
194	0.1473707961
195	0.1473611087
196	0.1473495444
197	0.1473369449
198	0.1473027558
199	0.1472894976
