iter	Passed	Remaining
0	38	7664
1	70	6979
2	103	6822
3	136	6712
4	172	6717
5	203	6590
6	236	6534
7	270	6483
8	303	6434
9	338	6433
10	373	6416
11	411	6440
12	451	6488
13	510	6784
14	549	6780
15	586	6748
16	622	6703
17	667	6746
18	705	6725
19	744	6703
20	783	6676
21	818	6624
22	854	6573
23	887	6506
24	923	6464
25	959	6418
26	992	6359
27	1033	6346
28	1074	6335
29	1108	6282
30	1148	6259
31	1190	6249
32	1226	6207
33	1262	6162
34	1302	6140
35	1343	6121
36	1381	6087
37	1419	6052
38	1457	6018
39	1495	5980
40	1533	5945
41	1571	5911
42	1611	5882
43	1651	5853
44	1687	5811
45	1724	5774
46	1762	5738
47	1798	5695
48	1831	5645
49	1869	5609
50	1908	5575
51	1950	5550
52	1993	5527
53	2025	5475
54	2066	5446
55	2103	5410
56	2145	5382
57	2195	5374
58	2241	5356
59	2275	5309
60	2314	5273
61	2347	5225
62	2386	5188
63	2419	5140
64	2451	5090
65	2486	5048
66	2521	5004
67	2555	4960
68	2595	4928
69	2634	4891
70	2698	4902
71	2735	4862
72	2767	4815
73	2803	4773
74	2836	4728
75	2871	4685
76	2905	4641
77	2939	4596
78	2979	4563
79	3017	4526
80	3055	4488
81	3092	4449
82	3130	4413
83	3179	4390
84	3218	4353
85	3254	4314
86	3293	4277
87	3329	4237
88	3362	4193
89	3411	4169
90	3462	4147
91	3505	4114
92	3551	4086
93	3590	4048
94	3630	4012
95	3669	3975
96	3709	3938
97	3746	3899
98	3780	3856
99	3820	3820
100	3862	3786
101	3902	3749
102	3937	3708
103	3974	3669
104	4011	3629
105	4047	3589
106	4085	3550
107	4160	3543
108	4205	3511
109	4240	3469
110	4277	3430
111	4314	3389
112	4352	3350
113	4388	3310
114	4426	3271
115	4463	3231
116	4495	3189
117	4532	3149
118	4568	3109
119	4607	3071
120	4640	3029
121	4671	2986
122	4708	2947
123	4743	2907
124	4780	2868
125	4814	2827
126	4849	2787
127	4883	2746
128	4918	2707
129	4957	2669
130	4995	2631
131	5028	2590
132	5067	2552
133	5109	2516
134	5142	2476
135	5178	2436
136	5216	2398
137	5256	2361
138	5295	2323
139	5342	2289
140	5377	2250
141	5407	2208
142	5445	2170
143	5481	2131
144	5515	2092
145	5548	2052
146	5582	2012
147	5619	1974
148	5656	1936
149	5691	1897
150	5728	1858
151	5765	1820
152	5810	1784
153	5843	1745
154	5883	1708
155	5919	1669
156	5960	1632
157	5992	1593
158	6027	1554
159	6058	1514
160	6092	1475
161	6127	1437
162	6165	1399
163	6205	1362
164	6240	1323
165	6276	1285
166	6308	1246
167	6343	1208
168	6375	1169
169	6411	1131
170	6446	1093
171	6478	1054
172	6514	1016
173	6549	978
174	6581	940
175	6612	901
176	6649	864
177	6687	826
178	6721	788
179	6755	750
180	6787	712
181	6822	674
182	6855	636
183	6890	599
184	6925	561
185	6960	523
186	6996	486
187	7033	448
188	7068	411
189	7105	373
190	7141	336
191	7172	298
192	7206	261
193	7248	224
194	7287	186
195	7320	149
196	7351	111
197	7386	74
198	7421	37
199	7456	0
