iter	Logloss
0	0.6428485521
1	0.6012954878
2	0.5656889044
3	0.5351474529
4	0.5088425945
5	0.4877897893
6	0.4694889376
7	0.4529973841
8	0.4393254295
9	0.4266171178
10	0.4170336288
11	0.4084646213
12	0.4002276271
13	0.3933176895
14	0.3875486995
15	0.3823674499
16	0.3779995074
17	0.3738422262
18	0.3702812618
19	0.3671162581
20	0.3645586205
21	0.3619588396
22	0.3594729265
23	0.3571818587
24	0.35525554
25	0.3534182916
26	0.3517895839
27	0.3503641401
28	0.348866224
29	0.3475926565
30	0.3461514287
31	0.3448851206
32	0.343656993
33	0.342698481
34	0.3418829512
35	0.3410505309
36	0.3403164527
37	0.3395600256
38	0.3389276116
39	0.3383193725
40	0.3377540544
41	0.3371834091
42	0.3366884507
43	0.3361926193
44	0.3357458674
45	0.3352719536
46	0.3348684743
47	0.334357597
48	0.3338993545
49	0.3335920452
50	0.3331941751
51	0.3327301688
52	0.3323952889
53	0.3320858861
54	0.3318123929
55	0.3315113537
56	0.331258429
57	0.331042404
58	0.330770872
59	0.3305423563
60	0.3303105526
61	0.3300712931
62	0.3299021078
63	0.3296868344
64	0.3294944261
65	0.3292917385
66	0.3290804103
67	0.3288542985
68	0.3286842436
69	0.328531162
70	0.3283723707
71	0.3281936334
72	0.328011559
73	0.3278761458
74	0.32767264
75	0.3275007923
76	0.3273651969
77	0.3271763226
78	0.3270040995
79	0.3268322653
80	0.3267177914
81	0.326589548
82	0.3264764475
83	0.3263260593
84	0.3261884786
85	0.3260395507
86	0.3258551068
87	0.3257488335
88	0.3256323691
89	0.3254898442
90	0.3253737793
91	0.3252698666
92	0.3251503939
93	0.3250742214
94	0.3249654217
95	0.3248461056
96	0.3246900692
97	0.3246136933
98	0.3245201931
99	0.3243967394
100	0.3242880756
101	0.3241449074
102	0.3240415059
103	0.3239279144
104	0.3238229657
105	0.3237253347
106	0.3236393425
107	0.3235431845
108	0.3234462333
109	0.3233511756
110	0.3232422603
111	0.3231607548
112	0.3230443908
113	0.3229513927
114	0.3228504285
115	0.3227754498
116	0.322677794
117	0.3226152171
118	0.3225181737
119	0.3224140052
120	0.3223219661
121	0.3222397846
122	0.3221012218
123	0.3219870079
124	0.321914493
125	0.3218113008
126	0.3216893305
127	0.3216360909
128	0.3215414539
129	0.3214049755
130	0.3212966501
131	0.3212155516
132	0.3211298522
133	0.3210462349
134	0.3209648669
135	0.3208462602
136	0.3207602366
137	0.3206770651
138	0.3205904002
139	0.320489379
140	0.3204150986
141	0.3203218883
142	0.3202337165
143	0.3201365648
144	0.3200414912
145	0.3199566805
146	0.3198735142
147	0.3197915062
148	0.3197063739
149	0.3196363583
150	0.3195401511
151	0.3194576858
152	0.31938951
153	0.3193138472
154	0.3192421121
155	0.3191313088
156	0.3190584506
157	0.3189619866
158	0.3188818205
159	0.3187988982
160	0.318708703
161	0.3186218574
162	0.3185392988
163	0.3184693943
164	0.3183905185
165	0.3183176552
166	0.3182292467
167	0.3181372776
168	0.3180465464
169	0.3179511617
170	0.3178776081
171	0.3177902873
172	0.3176923343
173	0.3175956358
174	0.3175257707
175	0.3174344527
176	0.317330303
177	0.3172554581
178	0.3171483527
179	0.3171064978
180	0.317053829
181	0.3169827907
182	0.3168932758
183	0.3168264377
184	0.3167323409
185	0.3166659461
186	0.3165668403
187	0.3164793402
188	0.3164045077
189	0.3163447677
190	0.3162704668
191	0.3162044415
192	0.3161123762
193	0.3160246332
194	0.315959291
195	0.3158570251
196	0.3157523541
197	0.3156573784
198	0.3155967049
199	0.3155080172
200	0.3154197924
201	0.3153148903
202	0.3152123322
203	0.3151172129
204	0.3150406737
205	0.3149555368
206	0.3148680616
207	0.3147837676
208	0.3147204073
209	0.3145984457
210	0.3145116193
211	0.3144155718
212	0.3143668864
213	0.3143039693
214	0.3142425711
215	0.3141382605
216	0.3140591573
217	0.3139670034
218	0.3138825663
219	0.3138443535
220	0.3137630222
221	0.3136789569
222	0.3136140098
223	0.3135350058
224	0.3134500758
225	0.3133683309
226	0.313287105
227	0.313157054
228	0.3130918998
229	0.3129799689
230	0.3128978642
231	0.3127995189
232	0.3127404286
233	0.3126467421
234	0.3125601932
235	0.3124657165
236	0.3123641189
237	0.3122914364
238	0.3122266703
239	0.3121583373
240	0.3120698575
241	0.311981597
242	0.3119251746
243	0.31187744
244	0.3118263688
245	0.3117438272
246	0.3116525284
247	0.3115906508
248	0.3115142485
249	0.3114377654
250	0.311376018
251	0.3113170579
252	0.3112168969
253	0.311144227
254	0.3110833562
255	0.3110013567
256	0.3108972521
257	0.3108641572
258	0.3108107907
259	0.310743282
260	0.3107169056
261	0.3106307326
262	0.3105488247
263	0.3104344403
264	0.3103678707
265	0.3102759375
266	0.3102027346
267	0.3101380129
268	0.3100857793
269	0.3099843883
270	0.3099322208
271	0.3099014966
272	0.3098245431
273	0.3097409646
274	0.3096648804
275	0.309601558
276	0.3095177728
277	0.3094785407
278	0.3094197607
279	0.3093392422
280	0.3093052094
281	0.3092270101
282	0.3091648622
283	0.3090975507
284	0.3090529556
285	0.30898184
286	0.3089007975
287	0.308837
288	0.3087732248
289	0.3086958757
290	0.3086147164
291	0.3085270869
292	0.3084636557
293	0.3084180704
294	0.308345794
295	0.3082391255
296	0.3081876892
297	0.3081323802
298	0.3080688303
299	0.3080019426
300	0.3079222733
301	0.3078770597
302	0.3077869247
303	0.3076757469
304	0.3076106631
305	0.3075665652
306	0.3075048608
307	0.3074503772
308	0.3073932037
309	0.3073036583
310	0.3072184023
311	0.3071459858
312	0.3070656188
313	0.3069809552
314	0.3069205534
315	0.3068293568
316	0.3067557478
317	0.3066737113
318	0.3065969225
319	0.3065412337
320	0.3064496588
321	0.3063866381
322	0.3063238384
323	0.3062687604
324	0.306216142
325	0.3061729643
326	0.3060910694
327	0.3060363264
328	0.3059551249
329	0.305882452
330	0.3058074776
331	0.3057392484
332	0.305662953
333	0.3055968951
334	0.3055155968
335	0.3054336959
336	0.3053883214
337	0.3053204456
338	0.3052508986
339	0.3051766249
340	0.305079883
341	0.3049970375
342	0.3049350761
343	0.3048664905
344	0.3048008294
345	0.3047111205
346	0.3046657613
347	0.3045989184
348	0.3045584368
349	0.3045007214
350	0.3044360886
351	0.3043483672
352	0.3042915086
353	0.3042333448
354	0.3041586756
355	0.3040774396
356	0.3039868606
