iter	Passed	Remaining
0	6	6851
1	12	6271
2	18	6157
3	23	5950
4	29	5880
5	35	5875
6	40	5783
7	45	5697
8	51	5709
9	57	5673
10	62	5628
11	68	5603
12	73	5563
13	79	5571
14	85	5584
15	90	5555
16	95	5536
17	101	5555
18	107	5549
19	112	5530
20	118	5510
21	123	5473
22	127	5428
23	133	5416
24	138	5382
25	143	5364
26	148	5355
27	153	5325
28	158	5311
29	164	5305
30	169	5313
31	175	5317
32	181	5314
33	187	5328
34	192	5321
35	199	5351
36	205	5347
37	210	5340
38	217	5347
39	222	5333
40	227	5321
41	233	5319
42	238	5308
43	243	5296
44	249	5300
45	255	5297
46	260	5283
47	266	5286
48	271	5275
49	277	5265
50	282	5256
51	288	5250
52	293	5243
53	299	5245
54	304	5239
55	310	5235
56	316	5237
57	321	5227
58	327	5218
59	333	5229
60	339	5225
61	344	5219
62	350	5214
63	356	5210
64	361	5199
65	367	5201
66	373	5199
67	378	5192
68	384	5190
69	390	5182
70	395	5176
71	400	5168
72	406	5157
73	411	5153
74	417	5146
75	422	5135
76	427	5130
77	433	5124
78	439	5118
79	444	5113
80	450	5105
81	455	5101
82	460	5089
83	466	5084
84	471	5078
85	477	5070
86	482	5065
87	488	5059
88	493	5048
89	499	5048
90	504	5039
91	509	5029
92	515	5023
93	520	5016
94	526	5011
95	532	5010
96	538	5009
97	543	5001
98	549	4998
99	554	4990
100	559	4983
101	617	5432
102	623	5432
103	638	5501
104	651	5554
105	657	5545
106	665	5552
107	672	5553
108	678	5545
109	683	5530
110	688	5515
111	693	5499
112	699	5488
113	704	5475
114	709	5458
115	715	5449
116	720	5436
117	724	5417
118	730	5408
119	735	5395
120	740	5380
121	746	5369
122	750	5351
123	755	5337
124	760	5325
125	766	5315
126	771	5302
127	777	5293
128	782	5283
129	788	5274
130	796	5285
131	806	5305
132	817	5332
133	829	5361
134	839	5381
135	848	5392
136	859	5412
137	866	5414
138	872	5402
139	878	5394
140	883	5384
141	889	5371
142	895	5365
143	900	5352
144	905	5340
145	911	5334
146	917	5323
147	922	5311
148	928	5304
149	934	5293
150	939	5281
151	944	5271
152	950	5259
153	955	5247
154	961	5239
155	966	5227
156	971	5216
157	977	5209
158	982	5198
159	988	5187
160	993	5178
161	999	5168
162	1004	5157
163	1010	5149
164	1015	5139
165	1021	5130
166	1027	5123
167	1032	5113
168	1037	5103
169	1043	5096
170	1049	5085
171	1054	5074
172	1060	5067
173	1065	5057
174	1070	5045
175	1075	5037
176	1081	5026
177	1086	5016
178	1092	5009
179	1097	4999
180	1102	4988
181	1107	4978
182	1113	4969
183	1118	4959
184	1123	4950
185	1129	4941
186	1134	4932
187	1140	4923
188	1145	4914
189	1150	4905
190	1156	4896
191	1161	4887
192	1166	4878
193	1172	4871
194	1177	4862
195	1183	4854
196	1189	4847
197	1196	4844
198	1201	4837
199	1208	4832
200	1213	4822
201	1218	4814
202	1225	4811
203	1230	4802
204	1236	4794
205	1242	4787
206	1247	4780
207	1253	4771
208	1306	4946
209	1313	4939
210	1322	4946
211	1334	4960
212	1340	4951
213	1345	4941
214	1350	4931
215	1356	4922
216	1361	4913
217	1367	4903
218	1372	4895
219	1378	4886
220	1383	4877
221	1389	4870
222	1395	4861
223	1400	4853
224	1407	4846
225	1412	4837
226	1417	4827
227	1423	4820
228	1429	4811
229	1434	4802
230	1440	4795
231	1445	4786
232	1451	4776
233	1457	4770
234	1462	4760
235	1467	4750
236	1473	4743
237	1479	4735
238	1484	4725
239	1490	4718
240	1495	4709
241	1500	4700
242	1506	4692
243	1511	4682
244	1516	4673
245	1522	4665
246	1527	4655
247	1532	4647
248	1538	4640
249	1543	4630
250	1548	4620
251	1553	4611
252	1559	4603
253	1564	4594
254	1569	4586
255	1575	4578
256	1580	4569
257	1585	4560
258	1591	4552
259	1596	4543
260	1601	4534
261	1606	4526
262	1612	4517
263	1616	4507
264	1622	4500
265	1627	4492
266	1633	4483
267	1638	4475
268	1643	4466
269	1649	4459
270	1654	4451
271	1659	4442
272	1664	4433
273	1670	4426
274	1675	4418
275	1680	4409
276	1686	4400
277	1691	4392
278	1696	4384
279	1702	4376
280	1707	4367
281	1712	4360
282	1718	4353
283	1723	4345
284	1729	4338
285	1735	4331
286	1740	4323
287	1745	4315
288	1750	4307
289	1756	4299
290	1761	4292
291	1767	4286
292	1773	4278
293	1778	4270
294	1784	4265
295	1790	4258
296	1795	4250
297	1801	4243
298	1806	4234
299	1811	4227
300	1818	4222
301	1824	4217
302	1829	4209
303	1836	4203
304	1841	4196
305	1846	4188
306	1852	4182
307	1858	4175
308	1864	4169
309	1870	4164
310	1877	4158
311	1883	4152
312	1889	4146
313	1895	4140
314	1901	4134
315	1906	4127
316	1912	4120
317	1918	4113
318	1923	4106
319	1928	4098
320	1934	4092
321	1940	4086
322	1945	4078
323	1952	4072
324	1957	4065
325	1962	4057
326	1968	4052
327	1974	4045
328	1980	4039
329	1986	4032
330	1991	4025
331	1997	4018
332	2002	4011
333	2008	4004
334	2014	3997
335	2019	3991
336	2025	3983
337	2030	3977
338	2036	3970
339	2041	3963
340	2047	3957
341	2053	3950
342	2058	3943
343	2064	3936
344	2069	3929
345	2075	3922
346	2080	3915
347	2086	3909
348	2092	3902
349	2097	3895
350	2103	3888
351	2108	3881
352	2113	3874
353	2119	3867
354	2124	3860
355	2130	3853
356	2136	3847
357	2141	3839
358	2146	3833
359	2152	3826
360	2158	3820
361	2164	3813
362	2169	3807
363	2175	3801
364	2182	3796
365	2187	3788
366	2193	3783
367	2200	3778
368	2206	3773
369	2212	3766
370	2217	3759
371	2222	3752
372	2228	3746
373	2234	3739
374	2239	3733
375	2245	3726
376	2251	3720
377	2256	3713
378	2262	3707
379	2267	3700
380	2273	3693
381	2278	3686
382	2284	3680
383	2289	3673
384	2295	3666
385	2301	3660
386	2306	3654
387	2312	3647
388	2318	3641
389	2324	3635
390	2330	3629
391	2336	3623
392	2341	3616
393	2347	3610
394	2351	3602
395	2357	3595
396	2363	3589
397	2367	3581
398	2372	3574
399	2378	3567
400	2383	3559
401	2388	3552
402	2393	3545
403	2398	3538
404	2403	3531
405	2408	3523
406	2414	3517
407	2420	3511
408	2426	3505
409	2431	3498
410	2437	3493
411	2443	3487
412	2449	3481
413	2455	3474
414	2460	3468
415	2466	3462
416	2471	3455
417	2477	3449
418	2482	3442
419	2488	3436
420	2493	3429
