scenario_id,actor,modality,emotion,video_path
0100104,R,T,humiliating,01/0100104/0100104R6Thumiliating.mov
0100104,S,V,humiliating,01/0100104/0100104S1Vhumiliating.mov
0100104,P,T,humiliating,01/0100104/0100104P5Thumiliating.mov
0100104,U,T,humiliating,01/0100104/0100104U5Thumiliating.mov
0100104,Z,T,humiliating,01/0100104/0100104Z5Thumiliating.mov
0100104,P,T,humiliating,01/0100104/0100104P6Thumiliating.mov
0100104,S,V,humiliating,01/0100104/0100104S2Vhumiliating.mov
0100104,U,T,humiliating,01/0100104/0100104U6Thumiliating.mov
0100203,P,T,detesting,01/0100203/0100203P5Tdetesting.mov
0100203,P,T,detesting,01/0100203/0100203P6Tdetesting.mov
0100203,R,T,detesting,01/0100203/0100203R6Tdetesting.mov
0100203,Z,T,detesting,01/0100203/0100203Z6Tdetesting.mov
0100203,U,T,detesting,01/0100203/0100203U5Tdetesting.mov
0100203,S,V,detesting,01/0100203/0100203S2Vdetesting.mov
0100203,S,V,detesting,01/0100203/0100203S1Vdetesting.mov
0100203,P,T,detesting,01/0100203/0100203P3Tdetesting.mov
0100502,U,T,blaming,01/0100502/0100502U6Tblaming.mov
0100502,S,V,blaming,01/0100502/0100502S6Vblaming.mov
0100502,U,T,blaming,01/0100502/0100502U2Tblaming.mov
0100502,S,V,blaming,01/0100502/0100502S1Vblaming.mov
0100502,Z,T,blaming,01/0100502/0100502Z5Tblaming.mov
0100502,P,T,blaming,01/0100502/0100502P6Tblaming.mov
0100502,U,T,blaming,01/0100502/0100502U1Tblaming.mov
0100809,R,T,scolding,01/0100809/0100809R6Tscolding.mov
0100809,W,T,scolding,01/0100809/0100809W5Tscolding.mov
0100809,U,T,scolding,01/0100809/0100809U6Tscolding.mov
0100809,S,V,scolding,01/0100809/0100809S3Vscolding.mov
0100809,P,T,scolding,01/0100809/0100809P6Tscolding.mov
0100809,S,V,scolding,01/0100809/0100809S2Vscolding.mov
0100809,U,T,scolding,01/0100809/0100809U5Tscolding.mov
0101001,U,T,aggressive,01/0101001/0101001U5Taggressive.mov
0101001,R,T,aggressive,01/0101001/0101001R6Taggressive.mov
0101001,U,T,aggressive,01/0101001/0101001U6Taggressive.mov
0101001,Z,T,aggressive,01/0101001/0101001Z6Taggressive.mov
0101001,P,T,aggressive,01/0101001/0101001P6Taggressive.mov
0101001,S,V,aggressive,01/0101001/0101001S2Vaggressive.mov
0101001,P,T,aggressive,01/0101001/0101001P5Taggressive.mov
0101001,S,V,aggressive,01/0101001/0101001S1Vaggressive.mov
0101103,S,V,remote,01/0101103/0101103S2Vremote.mov
0101103,U,T,remote,01/0101103/0101103U6Tremote.mov
0101103,P,T,remote,01/0101103/0101103P6Tremote.mov
0101103,P,T,remote,01/0101103/0101103P5Tremote.mov
0101103,R,T,remote,01/0101103/0101103R6Tremote.mov
0101103,U,T,remote,01/0101103/0101103U5Tremote.mov
0101103,S,V,remote,01/0101103/0101103S1Vremote.mov
0101103,Z,T,remote,01/0101103/0101103Z5Tremote.mov
0101201,U,T,animosity,01/0101201/0101201U5Tanimosity.mov
0101201,Z,T,animosity,01/0101201/0101201Z6Tanimosity.mov
0101201,R,T,animosity,01/0101201/0101201R6Tanimosity.mov
0101201,U,T,animosity,01/0101201/0101201U6Tanimosity.mov
0101201,P,T,animosity,01/0101201/0101201P6Tanimosity.mov
0101201,P,T,animosity,01/0101201/0101201P3Tanimosity.mov
0101201,S,V,animosity,01/0101201/0101201S1Vanimosity.mov
0101702,U,T,resentful,01/0101702/0101702U5Tresentful.mov
0101702,Z,T,resentful,01/0101702/0101702Z5Tresentful.mov
0101702,S,V,resentful,01/0101702/0101702S3Vresentful.mov
0101702,R,T,resentful,01/0101702/0101702R6Tresentful.mov
0101702,U,T,resentful,01/0101702/0101702U6Tresentful.mov
0101702,P,T,resentful,01/0101702/0101702P6Tresentful.mov
0101702,P,T,resentful,01/0101702/0101702P5Tresentful.mov
0101801,P,T,belittling,01/0101801/0101801P5Tbelittling.mov
0101801,P,T,belittling,01/0101801/0101801P3Tbelittling.mov
0101801,S,V,belittling,01/0101801/0101801S1Vbelittling.mov
0101801,S,V,belittling,01/0101801/0101801S4Vbelittling.mov
0101801,P,T,belittling,01/0101801/0101801P6Tbelittling.mov
0101801,R,T,belittling,01/0101801/0101801R6Tbelittling.mov
0101801,Z,T,belittling,01/0101801/0101801Z6Tbelittling.mov
0101801,U,T,belittling,01/0101801/0101801U5Tbelittling.mov
0102301,A,T,brazen,01/0102301/0102301A5Tbrazen.mov
0102301,P,T,brazen,01/0102301/0102301P6Tbrazen.mov
0102301,P,T,brazen,01/0102301/0102301P5Tbrazen.mov
0102301,S,V,brazen,01/0102301/0102301S6Vbrazen.mov
0102301,R,T,brazen,01/0102301/0102301R6Tbrazen.mov
0102301,U,T,brazen,01/0102301/0102301U5Tbrazen.mov
0102301,Z,T,brazen,01/0102301/0102301Z5Tbrazen.mov
0102301,S,V,brazen,01/0102301/0102301S1Vbrazen.mov
0102402,S,V,cruel,01/0102402/0102402S1Vcruel.mov
0102402,U,T,cruel,01/0102402/0102402U6Tcruel.mov
0102402,P,T,cruel,01/0102402/0102402P6Tcruel.mov
0102402,Z,T,cruel,01/0102402/0102402Z6Tcruel.mov
0102402,U,T,cruel,01/0102402/0102402U1Tcruel.mov
0102402,U,T,cruel,01/0102402/0102402U2Tcruel.mov
0102402,U,T,cruel,01/0102402/0102402U5Tcruel.mov
0102402,S,V,cruel,01/0102402/0102402S4Vcruel.mov
0102501,P,T,bullying,01/0102501/0102501P3Tbullying.mov
0102501,U,T,bullying,01/0102501/0102501U1Tbullying.mov
0102501,R,T,bullying,01/0102501/0102501R6Tbullying.mov
0102501,P,T,bullying,01/0102501/0102501P5Tbullying.mov
0102501,U,T,bullying,01/0102501/0102501U2Tbullying.mov
0102501,S,V,bullying,01/0102501/0102501S4Vbullying.mov
0102501,Z,T,bullying,01/0102501/0102501Z6Tbullying.mov
0102604,Z,T,pitiless,01/0102604/0102604Z6Tpitiless.mov
0102604,S,V,pitiless,01/0102604/0102604S4Vpitiless.mov
0102604,P,T,pitiless,01/0102604/0102604P6Tpitiless.mov
0102604,U,T,pitiless,01/0102604/0102604U5Tpitiless.mov
0102604,R,T,pitiless,01/0102604/0102604R6Tpitiless.mov
0102604,P,T,pitiless,01/0102604/0102604P5Tpitiless.mov
0102604,S,V,pitiless,01/0102604/0102604S1Vpitiless.mov
0102604,P,T,pitiless,01/0102604/0102604P3Tpitiless.mov
0102901,P,T,cold,01/0102901/0102901P3Tcold.mov
0102901,Z,T,cold,01/0102901/0102901Z5Tcold.mov
0102901,U,T,cold,01/0102901/0102901U1Tcold.mov
0102901,R,T,cold,01/0102901/0102901R6Tcold.mov
0102901,S,V,cold,01/0102901/0102901S3Vcold.mov
0102901,S,V,cold,01/0102901/0102901S4Vcold.mov
0102901,P,T,cold,01/0102901/0102901P6Tcold.mov
0102901,U,T,cold,01/0102901/0102901U2Tcold.mov
0103001,S,V,condemning,01/0103001/0103001S3Vcondemning.mov
0103001,P,T,condemning,01/0103001/0103001P6Tcondemning.mov
0103001,S,V,condemning,01/0103001/0103001S4Vcondemning.mov
0103001,P,T,condemning,01/0103001/0103001P4Tcondemning.mov
0103001,P,T,condemning,01/0103001/0103001P5Tcondemning.mov
0103001,U,T,condemning,01/0103001/0103001U5Tcondemning.mov
0103001,Z,T,condemning,01/0103001/0103001Z5Tcondemning.mov
0103001,R,T,condemning,01/0103001/0103001R6Tcondemning.mov
0103101,P,T,condescending,01/0103101/0103101P5Tcondescending.mov
0103101,P,T,condescending,01/0103101/0103101P3Tcondescending.mov
0103101,P,T,condescending,01/0103101/0103101P6Tcondescending.mov
0103101,U,T,condescending,01/0103101/0103101U5Tcondescending.mov
0103101,R,T,condescending,01/0103101/0103101R6Tcondescending.mov
0103101,S,V,condescending,01/0103101/0103101S1Vcondescending.mov
0103101,Z,T,condescending,01/0103101/0103101Z6Tcondescending.mov
0103101,S,V,condescending,01/0103101/0103101S6Vcondescending.mov
0103203,S,V,argumentative,01/0103203/0103203S1Vargumentative.mov
0103203,U,T,argumentative,01/0103203/0103203U1Targumentative.mov
0103203,P,T,argumentative,01/0103203/0103203P6Targumentative.mov
0103203,U,T,argumentative,01/0103203/0103203U5Targumentative.mov
0103203,U,T,argumentative,01/0103203/0103203U6Targumentative.mov
0103203,U,T,argumentative,01/0103203/0103203U2Targumentative.mov
0103301,A,T,contemptuous,01/0103301/0103301A5Tcontemptuous.mov
0103301,R,T,contemptuous,01/0103301/0103301R6Tcontemptuous.mov
0103301,P,T,contemptuous,01/0103301/0103301P3Tcontemptuous.mov
0103301,P,T,contemptuous,01/0103301/0103301P6Tcontemptuous.mov
0103301,S,V,contemptuous,01/0103301/0103301S4Vcontemptuous.mov
0103301,S,V,contemptuous,01/0103301/0103301S3Vcontemptuous.mov
0103301,P,T,contemptuous,01/0103301/0103301P5Tcontemptuous.mov
0103301,Z,T,contemptuous,01/0103301/0103301Z6Tcontemptuous.mov
0103401,S,V,contradictory,01/0103401/0103401S1Vcontradictory.mov
0103401,Z,T,contradictory,01/0103401/0103401Z5Tcontradictory.mov
0103401,R,T,contradictory,01/0103401/0103401R6Tcontradictory.mov
0103401,S,V,contradictory,01/0103401/0103401S6Vcontradictory.mov
0103401,P,T,contradictory,01/0103401/0103401P5Tcontradictory.mov
0103401,P,T,contradictory,01/0103401/0103401P4Tcontradictory.mov
0103401,U,T,contradictory,01/0103401/0103401U5Tcontradictory.mov
0103401,P,T,contradictory,01/0103401/0103401P6Tcontradictory.mov
0103501,U,T,contrary,01/0103501/0103501U6Tcontrary.mov
0103501,P,T,contrary,01/0103501/0103501P3Tcontrary.mov
0103501,R,T,contrary,01/0103501/0103501R6Tcontrary.mov
0103501,S,V,contrary,01/0103501/0103501S5Vcontrary.mov
0103501,U,T,contrary,01/0103501/0103501U5Tcontrary.mov
0103501,P,T,contrary,01/0103501/0103501P6Tcontrary.mov
0103501,Z,T,contrary,01/0103501/0103501Z6Tcontrary.mov
0103901,P,T,defiant,01/0103901/0103901P6Tdefiant.mov
0103901,P,T,defiant,01/0103901/0103901P3Tdefiant.mov
0103901,S,V,defiant,01/0103901/0103901S1Vdefiant.mov
0103901,P,T,defiant,01/0103901/0103901P5Tdefiant.mov
0103901,Z,T,defiant,01/0103901/0103901Z6Tdefiant.mov
0103901,U,T,defiant,01/0103901/0103901U5Tdefiant.mov
0103901,S,V,defiant,01/0103901/0103901S6Vdefiant.mov
0103901,R,T,defiant,01/0103901/0103901R6Tdefiant.mov
0104002,P,T,discouraging,01/0104002/0104002P4Tdiscouraging.mov
0104002,P,T,discouraging,01/0104002/0104002P5Tdiscouraging.mov
0104002,P,T,discouraging,01/0104002/0104002P6Tdiscouraging.mov
0104002,A,T,discouraging,01/0104002/0104002A5Tdiscouraging.mov
0104002,Z,T,discouraging,01/0104002/0104002Z5Tdiscouraging.mov
0104002,R,T,discouraging,01/0104002/0104002R6Tdiscouraging.mov
0104002,S,V,discouraging,01/0104002/0104002S5Vdiscouraging.mov
0104201,R,T,despising,01/0104201/0104201R6Tdespising.mov
0104201,S,V,despising,01/0104201/0104201S4Vdespising.mov
0104201,U,T,despising,01/0104201/0104201U5Tdespising.mov
0104201,Z,T,despising,01/0104201/0104201Z5Tdespising.mov
0104201,P,T,despising,01/0104201/0104201P5Tdespising.mov
0104201,P,T,despising,01/0104201/0104201P6Tdespising.mov
0104201,P,T,despising,01/0104201/0104201P4Tdespising.mov
0104201,S,V,despising,01/0104201/0104201S1Vdespising.mov
0104401,P,T,difficult,01/0104401/0104401P4Tdifficult.mov
0104401,S,V,difficult,01/0104401/0104401S1Vdifficult.mov
0104401,Z,T,difficult,01/0104401/0104401Z5Tdifficult.mov
0104401,U,T,difficult,01/0104401/0104401U1Tdifficult.mov
0104401,U,T,difficult,01/0104401/0104401U2Tdifficult.mov
0104401,R,T,difficult,01/0104401/0104401R6Tdifficult.mov
0104401,P,T,difficult,01/0104401/0104401P5Tdifficult.mov
0104602,P,T,disapproving,01/0104602/0104602P4Tdisapproving.mov
0104602,P,T,disapproving,01/0104602/0104602P5Tdisapproving.mov
0104602,U,T,disapproving,01/0104602/0104602U5Tdisapproving.mov
0104602,P,T,disapproving,01/0104602/0104602P6Tdisapproving.mov
0104602,S,V,disapproving,01/0104602/0104602S4Vdisapproving.mov
0104602,S,V,disapproving,01/0104602/0104602S1Vdisapproving.mov
0104602,R,T,disapproving,01/0104602/0104602R6Tdisapproving.mov
0104602,Z,T,disapproving,01/0104602/0104602Z5Tdisapproving.mov
0104801,Z,T,disinclined,01/0104801/0104801Z5Tdisinclined.mov
0104801,U,T,disinclined,01/0104801/0104801U5Tdisinclined.mov
0104801,P,T,disinclined,01/0104801/0104801P4Tdisinclined.mov
0104801,S,V,disinclined,01/0104801/0104801S6Vdisinclined.mov
0104801,P,T,disinclined,01/0104801/0104801P5Tdisinclined.mov
0104801,R,T,disinclined,01/0104801/0104801R6Tdisinclined.mov
0104801,U,T,disinclined,01/0104801/0104801U6Tdisinclined.mov
0104801,S,V,disinclined,01/0104801/0104801S3Vdisinclined.mov
0104901,P,T,disliking,01/0104901/0104901P4Tdisliking.mov
0104901,S,V,disliking,01/0104901/0104901S2Vdisliking.mov
0104901,U,T,disliking,01/0104901/0104901U6Tdisliking.mov
0104901,U,T,disliking,01/0104901/0104901U2Tdisliking.mov
0104901,U,T,disliking,01/0104901/0104901U5Tdisliking.mov
0104901,U,T,disliking,01/0104901/0104901U1Tdisliking.mov
0104901,S,V,disliking,01/0104901/0104901S3Vdisliking.mov
0104901,P,T,disliking,01/0104901/0104901P5Tdisliking.mov
0105202,R,T,ignoring,01/0105202/0105202R6Tignoring.mov
0105202,A,T,ignoring,01/0105202/0105202A5Tignoring.mov
0105202,U,T,ignoring,01/0105202/0105202U6Tignoring.mov
0105202,S,V,ignoring,01/0105202/0105202S1Vignoring.mov
